"","submission_date","state","tot_cases","new_case","tot_death","new_death","created_at"
"8417",2020-03-06,"IA",0,0,0,0,"2020-03-26T16:22:39.452"
"8418",2020-02-11,"SD",0,0,0,0,"2020-03-26T16:22:39.452"
"8419",2020-08-14,"NM",23160,173,669,5,"2020-08-16T00:00:00.000"
"8420",2020-02-28,"NM",0,0,0,0,"2020-03-26T16:22:39.452"
"8421",2020-03-27,"SD",58,12,1,0,"2020-03-26T16:22:39.452"
"8422",2022-01-06,"IA",596296,0,8019,0,"2022-01-07T15:48:33.461"
"8424",2020-09-08,"SD",15403,103,173,0,"2020-09-09T13:47:50.836"
"8425",2020-07-04,"TN",48374,1340,633,13,"2020-07-03T00:00:00.000"
"8427",2020-09-07,"IA",70403,393,1168,3,"2020-09-08T14:47:00.875"
"8428",2021-07-28,"IA",378916,515,6183,13,"2021-07-29T13:49:46.674"
"8430",2020-09-29,"TN",191909,670,2389,12,"2020-09-28T00:00:00.000"
"8432",2021-11-07,"PA",1593811,3672,31898,0,"2021-11-08T15:35:12.187"
"8433",2021-06-08,"TN",861501,260,12492,13,"2021-06-07T00:00:00.000"
"8435",2020-10-18,"NY",229929,778,9145,3,"2020-10-19T14:06:44.391"
"8436",2021-11-23,"IA",518859,1952,7354,86,"2021-11-24T15:13:47.034"
"8437",2020-02-11,"PA",0,0,0,0,"2020-03-26T16:22:39.452"
"8438",2021-01-09,"SD",102901,321,1570,14,"2021-01-10T16:10:55.461"
"8439",2020-12-04,"IA",240321,634,2605,2,"2020-12-05T14:29:17.537"
"8440",2021-02-25,"TN",764026,1915,11266,68,"2021-02-24T00:00:00.000"
"8441",2021-02-16,"SD",110593,217,1844,0,"2021-02-17T14:51:58.706"
"8443",2021-01-31,"IA",319247,691,4901,250,"2021-02-01T14:50:29.869"
"8444",2020-05-24,"TN",19894,418,329,14,"2020-05-23T00:00:00.000"
"8446",2020-12-19,"IA",266236,1478,3533,82,"2020-12-20T14:32:33.200"
"8447",2020-05-05,"PA",53883,871,3012,554,"2020-05-05T00:00:00.000"
"8450",2020-09-13,"IA",74506,809,1218,1,"2020-09-14T14:01:21.851"
"8452",2020-09-26,"NY",212449,576,9024,2,"2020-09-27T13:39:49.124"
"8453",2021-10-20,"OH",1507676,4574,23616,0,"2021-10-21T13:44:20.341"
"8454",2020-04-17,"PA",30053,1824,756,49,"2020-04-17T00:00:00.000"
"8455",2020-10-02,"IA",91025,1016,1372,12,"2020-10-03T13:39:53.719"
"8457",2020-09-01,"IA",65448,625,1122,6,"2020-09-02T13:49:48.945"
"8458",2021-03-22,"OH",1001194,1444,18347,0,"2021-03-23T14:05:18.025"
"8459",2022-01-14,"TN",1618310,21308,21479,177,"2022-01-15T14:59:30.476"
"8460",2021-08-21,"OH",1178792,3452,20689,0,"2021-08-23T12:48:27.632"
"8461",2021-11-07,"NM",282742,0,5113,0,"2021-11-09T00:00:00.000"
"8462",2020-12-28,"TN",558202,3377,6512,69,"2020-12-27T00:00:00.000"
"8463",2020-01-30,"PA",0,0,0,0,"2020-03-26T16:22:39.452"
"8464",2021-01-04,"NM",147315,921,2480,22,"2021-01-06T00:00:00.000"
"8465",2020-04-21,"OH",13725,806,557,48,"2020-04-21T16:22:39.452"
"8466",2020-06-30,"NY",178275,284,8680,7,"2020-07-01T15:45:16.790"
"8467",2020-05-31,"PA",75940,529,5567,12,"2020-05-31T00:00:00.000"
"8468",2020-12-30,"IA",278959,1712,3822,10,"2020-12-31T14:55:07.623"
"8469",2020-09-13,"PA",150424,671,7869,7,"2020-09-13T00:00:00.000"
"8470",2021-11-05,"NM",282742,1460,5113,12,"2021-11-07T00:00:00.000"
"8471",2022-01-14,"SD",203137,2641,2559,15,"2022-01-15T14:59:30.476"
"8472",2020-09-01,"SD",13749,240,167,0,"2020-09-02T13:49:48.945"
"8473",2021-02-22,"PA",921362,1483,23614,17,"2021-02-22T00:00:00.000"
"8474",2021-01-16,"PA",769900,6850,19188,231,"2021-01-16T00:00:00.000"
"8475",2021-01-07,"IA",291753,1821,4065,5,"2021-01-08T15:56:01.472"
"8476",2020-04-02,"IA",614,65,11,2,"2020-04-01T16:22:39.452"
"8477",2021-12-04,"NM",320520,0,5407,0,"2021-12-06T13:50:49.266"
"8478",2020-07-26,"PA",112447,859,7122,4,"2020-07-26T00:00:00.000"
"8480",2021-03-26,"SD",116833,209,1928,1,"2021-03-27T14:01:18.802"
"8482",2021-06-21,"TN",864093,84,12524,3,"2021-06-20T00:00:00.000"
"8483",2021-05-18,"IA",369690,201,6013,7,"2021-05-19T14:37:49.094"
"8484",2022-01-13,"OH",2266236,19262,30435,0,"2022-01-14T14:51:43.996"
"8486",2022-01-16,"NM",398939,0,6145,0,"2022-01-17T15:24:48.868"
"8487",2021-10-11,"NM",260761,606,4869,0,"2021-10-13T00:00:00.000"
"8488",2020-11-28,"PA",359835,7846,10275,41,"2020-11-28T00:00:00.000"
"8489",2021-03-24,"PA",1003028,4866,24876,48,"2021-03-24T00:00:00.000"
"8491",2021-03-20,"IA",345390,365,5674,2,"2021-03-21T13:54:01.052"
"8492",2020-03-17,"SD",11,1,1,0,"2020-03-26T16:22:39.452"
"8493",2020-01-29,"NY",0,0,0,0,"2020-03-26T16:22:39.452"
"8494",2020-04-05,"OH",4043,304,119,17,"2020-04-04T16:22:39.452"
"8495",2021-02-02,"IA",320618,804,4919,13,"2021-02-03T14:55:58.025"
"8498",2020-02-28,"IA",0,0,0,0,"2020-03-26T16:22:39.452"
"8499",2021-10-09,"NY",1371855,3539,21179,28,"2021-10-11T13:19:41.679"
"8500",2020-09-19,"NY",209240,494,9014,1,"2020-09-20T13:53:10.094"
"8501",2020-03-26,"TN",869,157,3,1,"2020-03-25T00:00:00.000"
"8502",2020-11-24,"PA",329221,6106,9951,81,"2020-11-24T00:00:00.000"
"8503",2020-07-02,"IA",30209,751,718,1,"2020-07-03T15:01:33.762"
"8504",2020-09-23,"SD",19634,445,202,0,"2020-09-24T13:54:02.843"
"8505",2020-05-13,"PA",62213,759,3943,137,"2020-05-13T00:00:00.000"
"8506",2020-03-29,"OH",1653,247,29,4,"2020-03-28T16:22:39.452"
"8507",2020-12-20,"NM",129993,1063,2082,14,"2020-12-22T00:00:00.000"
"8511",2021-12-16,"NY",1687870,9958,22891,40,"2021-12-17T14:18:55.723"
"8512",2020-12-05,"PA",420095,12452,11262,149,"2020-12-05T00:00:00.000"
"8513",2021-08-13,"IA",389223,975,6210,0,"2021-08-14T14:46:52.851"
"8514",2020-03-13,"IA",16,0,0,0,"2020-03-26T16:22:39.452"
"8515",2020-06-20,"PA",85623,491,6423,4,"2020-06-20T00:00:00.000"
"8516",2020-07-30,"IA",44039,759,857,12,"2020-07-31T14:35:06.518"
"8517",2021-01-08,"SD",102580,448,1556,12,"2021-01-09T15:26:08.605"
"8518",2020-05-17,"NM",5938,91,260,5,"2020-05-19T00:00:00.000"
"8519",2022-01-16,"NY",2397668,22716,24750,66,"2022-01-17T15:24:48.868"
"8521",2020-10-25,"SD",39203,1062,375,9,"2020-10-26T13:41:41.106"
"8522",2021-12-11,"OH",1776439,8072,27371,0,"2021-12-13T13:44:32.797"
"8523",2020-06-15,"IA",24077,151,655,3,"2020-06-16T14:10:11.939"
"8524",2021-05-02,"OH",1075004,985,19284,0,"2021-05-03T13:58:14.867"
"8525",2021-11-24,"OH",1660131,6751,26190,0,"2021-11-25T14:14:48.693"
"8526",2021-03-29,"OH",1013119,1497,18530,0,"2021-03-30T14:06:13.038"
"8529",2020-12-24,"NY",494968,7906,11912,100,"2020-12-25T14:25:34.696"
"8531",2020-02-05,"NM",0,0,0,0,"2020-03-26T16:22:39.452"
"8532",2021-02-17,"SD",110685,92,1844,0,"2021-02-18T14:43:57.648"
"8533",2020-12-06,"TN",393527,3063,4905,29,"2020-12-05T00:00:00.000"
